"","x"
"1",-0.54301017298692
"2",-0.167217526729941
"3",-0.0574740908436628
"4",0.74749007581147
"5",0.0303299371428575
"6",-0.313733893495954
"7",0.250520120686997
"8",0.0886562129240543
"9",0.0977750522509752
"10",0.203056483222198
"11",-0.185149593343455
"12",-0.642075378633315
"13",-0.313956775514958
"14",-0.126654163637351
"15",-0.430623129982999
"16",-0.0239285954923059
"17",0.0304801038231399
"18",-0.013343206558646
"19",0.318615982278453
"20",0.0486196909982494
"21",-0.137909321125909
"22",-0.196078283824279
