"","x"
"1",0.197875086738505
"2",0.135792685613408
"3",0.176944854457025
"4",0.0876976458390362
"5",0.215992262049621
"6",0.155074118042357
"7",0.158678356576018
"8",0.265702715019493
"9",0.151452993651698
"10",0.150713579727066
"11",0.162376858640458
"12",0.0594654536305004
"13",0.218060492740908
"14",0.161034927753161
"15",0.100533548348685
"16",0.0662544910145389
"17",0.189965546579865
"18",0.0449542096269777
"19",0.0840151364501583
"20",0.144894073801816
"21",0.207251144669131
"22",0.142806847553559
