"","x"
"1",0.0918753355249245
"2",0.0720821399200335
"3",0.07284094017791
"4",0.0833517067438624
"5",0.081018609417401
"6",0.0987133747897425
"7",0.0640549582396043
"8",0.0755538232503656
"9",0.0653637104546479
"10",0.064301344229768
"11",0.0724416412625772
"12",0.0829015784032898
"13",0.0866522210529238
"14",0.0687627234991037
"15",0.0721389233203792
"16",0.0644885120929257
"17",0.0737114414732769
"18",0.0522627812887302
"19",0.0810847170501397
"20",0.0800208225378908
"21",0.0710420075119828
"22",0.0627006698681446
