"","x"
"1",1.60352384675232
"2",0.219256548070656
"3",0.471039982723367
"4",0.885339372726158
"5",0.332279719152981
"6",2.01299056762628
"7",0.114478744089054
"8",0.0810494923132277
"9",0.0790081807461605
"10",0.0708538979922298
"11",0.0982757372824014
"12",1.08144919607205
"13",1.0255273129641
"14",0.361867579447703
"15",0.923754862158914
"16",0.0699376992905332
"17",0.244137846981289
"18",0.773962473001122
"19",1.48667247121539
"20",0.207889841186944
"21",0.206130393480336
"22",0.148632750839084
