"","x"
"1",-0.341414236315487
"2",-0.162642116541811
"3",-0.151740858443737
"4",0.344940953238095
"5",0.00437961541071474
"6",-0.17723342325747
"7",0.243153539851165
"8",0.0792074606469001
"9",0.100651173735374
"10",0.199714174746455
"11",-0.177370739130166
"12",-0.563502044357133
"13",-0.236130752302267
"14",-0.127614150556005
"15",-0.371430803044293
"16",-0.00812445497661657
"17",0.0323021573857836
"18",-0.0515477309504541
"19",0.128959980055367
"20",0.0054393470698641
"21",-0.119870659448902
"22",-0.191471133191199
