"","x"
"1",-0.61696364331217
"2",-0.108877495790353
"3",-0.652535288661006
"4",0.815991458434069
"5",0.063695658361054
"6",-0.257209771450854
"7",0.245465979424154
"8",0.102197688652838
"9",0.0994748139315368
"10",0.261953267810091
"11",-0.192131414056848
"12",-1.46218675370262
"13",-0.37135655632971
"14",-0.325390513281696
"15",-0.983192148661643
"16",-0.00490230769321554
"17",0.0655728736115415
"18",-0.295097840960445
"19",0.0768767307366044
"20",0.0759236872825922
"21",-0.184440989963657
"22",-0.328001564235079
