"","x"
"1",0.211066983434611
"2",0.65916046635023
"3",0.00353310061030102
"4",0.648548669012455
"5",0.623629261866006
"6",0.318620400521065
"7",0.330440603480597
"8",0.468044211342462
"9",0.382502238936122
"10",0.213292121402812
"11",0.456997727344301
"12",0.000377506040219468
"13",0.313087944158339
"14",0.124811018047192
"15",0.000379942984407934
"16",0.617666887027415
"17",0.365003600974964
"18",0.00125012370704631
"19",0.00188672257106669
"20",0.528611772150418
"21",0.394708843513335
"22",0.215468301184362
