"","x"
"1",0.10332427208757
"2",0.0553376487848925
"3",0.0846856657578687
"4",0.0700039391709434
"5",0.0673356704938626
"6",0.104100899895782
"7",0.0760935982606082
"8",0.0792909051665111
"9",0.0756775776209064
"10",0.083593441609884
"11",0.0780539526593735
"12",0.0971974490339806
"13",0.0974138010334015
"14",0.0901659464968871
"15",0.0881595591855298
"16",0.0549697297663937
"17",0.0872622070523701
"18",0.0684152808520174
"19",0.100228923561068
"20",0.0792807127005432
"21",0.0805361412994332
"22",0.079228930610243
