"","x"
"1",0.210690847339387
"2",0.151218214559115
"3",0.175753443957101
"4",0.21877373784293
"5",0.245206253815501
"6",0.161916065136252
"7",0.16694259409906
"8",0.289050892110291
"9",0.151378043042649
"10",0.150974419530839
"11",0.169902237786653
"12",0.157970782793808
"13",0.216286122238354
"14",0.157707304450029
"15",0.102904347463876
"16",0.0719253607231674
"17",0.195655902511603
"18",0.0403628988306512
"19",0.0796435067620933
"20",0.167358917110779
"21",0.220498262281236
"22",0.148164648592372
