"","x"
"1",0.000811882342952639
"2",0.727023758803361
"3",0.466233198552129
"4",0.690173483894055
"5",0.810537926222491
"6",0.000422298728021743
"7",0.341165212605355
"8",0.482780783054539
"9",0.000802238658678208
"10",0.705774189678182
"11",0.000163505435524985
"12",0.505476612116476
"13",0.00452326350480725
"14",0.47950359917779
"15",0.487594228916783
"16",0.356415893651426
"17",0.00620059271067136
"18",0.78632399405496
"19",0.639847557318665
"20",0.793935839102746
"21",0.00171791062977231
"22",0.000324996393757073
"23",0.00075810081616473
"24",0.386498459872866
"25",0.214974443098257
